a,0,1,5.0
a,1,1,1.0
a,0,2,10.0
a,1,2,1.0
a,2,2,1.0
a,3,2,2.0
a,1,3,1.0
a,2,3,1.0
a,1,4,3.0
a,2,4,1.0
a,3,4,4.0
a,4,4,2.0
a,1,5,3.0
a,4,5,1.0
a,1,6,3.0
a,2,6,3.0
a,3,6,4.0
a,4,6,2.0
a,5,6,2.0
a,1,7,3.0
a,2,7,1.0
a,4,7,2.0
a,5,7,2.0
a,2,8,1.0
a,3,8,1.0
a,5,8,1.0
a,2,9,2.0
a,4,9,1.0
a,5,9,2.0
a,2,10,3.0
a,4,10,2.0
a,5,10,4.0
a,2,11,2.0
a,3,11,4.0
a,4,11,2.0
a,5,11,1.0
a,4,12,2.0
a,5,12,2.0
a,4,13,1.0
a,5,14,1.0
b,1,0,5.0
b,1,1,1.0
b,2,0,10.0
b,2,1,1.0
b,2,2,1.0
b,2,3,2.0
b,3,1,1.0
b,3,2,1.0
b,4,1,3.0
b,4,2,1.0
b,4,3,4.0
b,4,4,2.0
b,5,1,3.0
b,5,4,1.0
b,6,1,3.0
b,6,2,3.0
b,6,3,4.0
b,6,4,2.0
b,6,5,2.0
b,7,1,3.0
b,7,2,1.0
b,7,4,2.0
b,7,5,2.0
b,8,2,1.0
b,8,3,1.0
b,8,5,1.0
b,9,2,2.0
b,9,4,1.0
b,9,5,2.0
b,10,2,3.0
b,10,4,2.0
b,10,5,4.0
b,11,2,2.0
b,11,3,4.0
b,11,4,2.0
b,11,5,1.0
b,12,4,2.0
b,12,5,2.0
b,13,4,1.0
b,14,5,1.0
