0,0,1.0
1,0,1.0
38,0,1.0
0,1,1.0
1,1,1.0
2,1,1.0
24,1,1.0
29,1,1.0
1,2,1.0
2,2,1.0
3,2,1.0
17,2,1.0
2,3,1.0
3,3,1.0
13,3,1.0
17,3,1.0
4,4,1.0
5,4,1.0
7,4,1.0
4,5,1.0
5,5,1.0
6,5,1.0
10,5,1.0
30,5,1.0
5,6,1.0
6,6,1.0
7,6,1.0
4,7,1.0
6,7,1.0
7,7,1.0
8,7,1.0
7,8,1.0
8,8,1.0
38,8,1.0
9,9,1.0
10,9,1.0
12,9,1.0
31,9,1.0
5,10,1.0
9,10,1.0
10,10,1.0
11,10,1.0
10,11,1.0
11,11,1.0
12,11,1.0
9,12,1.0
11,12,1.0
12,12,1.0
13,12,1.0
3,13,1.0
12,13,1.0
13,13,1.0
14,13,1.0
13,14,1.0
14,14,1.0
15,14,1.0
14,15,1.0
15,15,1.0
16,15,1.0
18,15,1.0
20,15,1.0
23,15,1.0
15,16,1.0
16,16,1.0
17,16,1.0
26,16,1.0
2,17,1.0
3,17,1.0
16,17,1.0
17,17,1.0
15,18,1.0
18,18,1.0
19,18,1.0
32,18,1.0
18,19,1.0
19,19,1.0
33,19,1.0
15,20,1.0
20,20,1.0
21,20,1.0
20,21,1.0
21,21,1.0
22,21,1.0
34,21,1.0
21,22,1.0
22,22,1.0
23,22,1.0
35,22,1.0
15,23,1.0
22,23,1.0
23,23,1.0
1,24,1.0
24,24,1.0
25,24,1.0
36,24,1.0
24,25,1.0
25,25,1.0
26,25,1.0
27,25,1.0
28,25,1.0
16,26,1.0
25,26,1.0
26,26,1.0
25,27,1.0
27,27,1.0
28,27,1.0
25,28,1.0
27,28,1.0
28,28,1.0
37,28,1.0
1,29,1.0
29,29,1.0
5,30,1.0
30,30,1.0
9,31,1.0
31,31,1.0
18,32,1.0
32,32,1.0
19,33,1.0
33,33,1.0
21,34,1.0
34,34,1.0
22,35,1.0
35,35,1.0
24,36,1.0
36,36,1.0
28,37,1.0
37,37,1.0
0,38,1.0
8,38,1.0
38,38,1.0
