a,1529,0,-1.0
a,1891,0,-1.0
a,3995,0,-1.0
a,4079,0,-1.0
a,1528,1,-1.0
a,3295,1,-1.0
a,4078,1,-1.0
a,4283,1,-1.0
a,1890,2,-1.0
a,3294,2,-1.0
a,3994,2,-1.0
a,4282,2,-1.0
a,1527,3,-1.0
a,3507,3,-1.0
a,3993,3,-1.0
a,4163,3,-1.0
a,1526,4,-1.0
a,2200,4,-1.0
a,4162,4,-1.0
a,4281,4,-1.0
a,2199,5,-1.0
a,3506,5,-1.0
a,3992,5,-1.0
a,4280,5,-1.0
a,1889,6,-1.0
a,3505,6,-1.0
a,4077,6,-1.0
a,4161,6,-1.0
a,2198,7,-1.0
a,3293,7,-1.0
a,4076,7,-1.0
a,4160,7,-1.0
a,1888,8,-1.0
a,2197,8,-1.0
a,3292,8,-1.0
a,3504,8,-1.0
a,1525,9,-1.0
a,1887,9,-1.0
a,3991,9,-1.0
a,4075,9,-1.0
a,1524,10,-1.0
a,3887,10,-1.0
a,4074,10,-1.0
a,4319,10,-1.0
a,1886,11,-1.0
a,3886,11,-1.0
a,3990,11,-1.0
a,4318,11,-1.0
a,1523,12,-1.0
a,3503,12,-1.0
a,3989,12,-1.0
a,4159,12,-1.0
a,1522,13,-1.0
a,2774,13,-1.0
a,4158,13,-1.0
a,4317,13,-1.0
a,2773,14,-1.0
a,3502,14,-1.0
a,3988,14,-1.0
a,4316,14,-1.0
a,1885,15,-1.0
a,3501,15,-1.0
a,4073,15,-1.0
a,4157,15,-1.0
a,2772,16,-1.0
a,3885,16,-1.0
a,4072,16,-1.0
a,4156,16,-1.0
a,1884,17,-1.0
a,2771,17,-1.0
a,3500,17,-1.0
a,3884,17,-1.0
a,1521,18,-1.0
a,3291,18,-1.0
a,4071,18,-1.0
a,4279,18,-1.0
a,1520,19,-1.0
a,3883,19,-1.0
a,4070,19,-1.0
a,4315,19,-1.0
a,3290,20,-1.0
a,3882,20,-1.0
a,4278,20,-1.0
a,4314,20,-1.0
a,1519,21,-1.0
a,2196,21,-1.0
a,4155,21,-1.0
a,4277,21,-1.0
a,1518,22,-1.0
a,2770,22,-1.0
a,4154,22,-1.0
a,4313,22,-1.0
